CID,SMILES,CT_TOX,FDA_APPROVED,smiles
c0,*C(=O)C(CCCCNC(=O)OCCOC)NC(=O)OCCOC,0,1,*C(=O)[C@H](CCCCNC(=O)OCCOC)NC(=O)OCCOC
c1,Brc1c(NC2=[NH+]CCN2)ccc2nccnc12,0,1,c1cc(c(c2c1nccn2)Br)NC3=[NH+]CCN3
c2,C#CC(O)(C=CCl)CC,0,1,CCC(/C=C/Cl)(C#C)O
c3,C#CC1(O)CCC2C3CC=C4CC(=O)CCC4C3C(=C)CC21CC,0,1,CC[C@]12CC(=C)[C@H]3[C@H]([C@@H]1CC[C@]2(C#C)O)CCC4=CC(=O)CC[C@H]34
c4,C#CC1(O)CCC2C3CC=C4CC(=O)CCC4C3CCC21CC,0,1,CC[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@]2(C#C)O)CCC4=CC(=O)CC[C@H]34
c5,C#CC1(O)CCC2C3CCC4=CC(=NO)CCC4C3CCC21CC,0,1,CC[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@]2(C#C)O)CCC4=C/C(=N/O)/CC[C@H]34
c6,C#CC1(O)CCC2C3CCC4=Cc5oncc5CC4(C)C3CCC21C,0,1,C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@]2(C#C)O)CCC4=Cc5c(cno5)C[C@]34C
c7,C#CC1(O)CCC2C3CCc4cc(O)ccc4C3CCC21C,0,1,C[C@]12CC[C@@H]3c4ccc(cc4CC[C@H]3[C@@H]1CC[C@]2(C#C)O)O
c8,C#CC1(O)CCC2C3CCc4cc(OC)ccc4C3CCC21C,0,1,C[C@]12CC[C@@H]3c4ccc(cc4CC[C@H]3[C@@H]1CC[C@]2(C#C)O)OC
c9,C#CC1(O)CCC2C3CCc4cc(OC5CCCC5)ccc4C3CCC21C,0,1,C[C@]12CC[C@@H]3c4ccc(cc4CC[C@H]3[C@@H]1CC[C@]2(C#C)O)OC5CCCC5
c10,C#CC1(OC(C)=O)CCC2C3CC=C4CC(=O)CCC4C3CCC21C,0,1,CC(=O)O[C@]1(CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CCC4=CC(=O)CC[C@H]34)C)C#C
c11,C#CC1(OC(C)=O)CCC2C3CCC4=CC(=NO)CCC4C3CCC21CC,0,1,CC[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@]2(C#C)OC(=O)C)CCC4=C/C(=N/O)/CC[C@H]34
c12,C#CC1(OC(C)=O)CCC2C3CCC4=CC(OC(C)=O)CCC4C3CCC21C,0,1,CC(=O)O[C@H]1CC[C@@H]2[C@H]3CC[C@]4([C@H]([C@@H]3CCC2=C1)CC[C@]4(C#C)OC(=O)C)C
c13,C#CC1(OC(N)=O)CCCCC1,0,1,C#CC1(CCCCC1)OC(=O)N
c14,C#CCC(Cc1cnc2nc(N)nc(N)c2n1)c1ccc(C(=O)NC(CCC(=O)[O-])C(=O)[O-])cc1,0,1,C#CCC(Cc1cnc2c(n1)c(nc(n2)N)N)c3ccc(cc3)C(=O)N[C@@H](CCC(=O)[O-])C(=O)[O-]
c15,C#CC[NH+](C)C(C)Cc1ccccc1,0,1,C[C@H](Cc1ccccc1)[NH+](C)CC#C
c16,C#CC[NH+](C)Cc1ccccc1,0,1,C[NH+](CC#C)Cc1ccccc1
c17,C#CC[NH2+]C1CCc2ccccc21,0,1,C#CC[NH2+][C@@H]1CCc2c1cccc2
c18,C#N,0,1,C#N
c19,C1C[NH2+]CCN1,0,1,C1CNCC[NH2+]1
c20,C=C(C)C1CCC2(C1)C(C)=CCCC2C,0,1,C[C@H]1CCC=C([C@]12CC[C@H](C2)C(=C)C)C
c21,C=C(CC)C(=O)c1ccc(OCC(=O)[O-])c(Cl)c1Cl,0,1,CCC(=C)C(=O)c1ccc(c(c1Cl)Cl)OCC(=O)[O-]
c22,C=C(c1ccc(C(=O)[O-])cc1)c1cc2c(cc1C)C(C)(C)CCC2(C)C,0,1,Cc1cc2c(cc1C(=C)c3ccc(cc3)C(=O)[O-])C(CCC2(C)C)(C)C
c23,C=C1C(=CC=C2CCCC3(C)C2CCC3C(C)C=CC(C)C(C)C)CC(O)CC1O,0,1,C[C@H](/C=C/[C@H](C)C(C)C)[C@H]1CC[C@@H]\2[C@@]1(CCC/C2=C\C=C/3\C[C@H](C[C@@H](C3=C)O)O)C
