CID,SMILES,ESOL_predicted,measured
Amigdalin,N#CC(OC1OC(COC2OC(CO)C(O)C(O)C2O)C(O)C(O)C1O)c1ccccc1,-0.974,-0.77
Fenfuram,Cc1occc1C(=O)Nc1ccccc1,-2.885,-3.3
citral,CC(C)=CCCC(C)=CC=O,-2.579,-2.06
Picene,c1ccc2c(c1)ccc1c2ccc2c3ccccc3ccc21,-6.617999999999999,-7.87
Thiophene,c1ccsc1,-2.232,-1.33
benzothiazole,c1ccc2scnc2c1,-2.733,-1.5
"2,2,4,6,6'-PCB",Clc1cc(Cl)c(-c2c(Cl)cccc2Cl)c(Cl)c1,-6.545,-7.32
Estradiol,CC12CCC3c4ccc(O)cc4CCC3C1CCC2O,-4.138,-5.03
Dieldrin,ClC1=C(Cl)C2(Cl)C3C4CC(C5OC45)C3C1(Cl)C2(Cl)Cl,-4.533,-6.29
Rotenone,C=C(C)C1Cc2c(ccc3c2OC2COc4cc(OC)c(OC)cc4C2C3=O)O1,-5.246,-4.42
2-pyrrolidone,O=C1CCCN1,0.243,1.07
2-Chloronapthalene,Clc1ccc2ccccc2c1,-4.063,-4.14
1-Pentene ,C=CCCC,-2.01,-2.68
Primidone,CCC1(c2ccccc2)C(=O)NCNC1=O,-1.897,-2.64
Tetradecane,CCCCCCCCCCCCCC,-5.45,-7.96
2-Chloropropane,CC(C)Cl,-1.585,-1.41
2-Methylbutanol,CCC(C)CO,-1.027,-0.47
Benzonitrile,N#Cc1ccccc1,-2.03,-1.0
Diazinon,CCOP(=S)(OCC)Oc1cc(C)nc(C(C)C)n1,-3.989,-3.64
2-Undecanol,CCCCCCCCCC(C)O,-3.096,-2.94
"2,2',3,4,6-PCB",Clc1ccc(-c2c(Cl)ccc(Cl)c2Cl)c(Cl)c1,-6.627000000000001,-7.43
Lenacil,O=c1[nH]c2c(c(=O)n1C1CCCCC1)CCC2,-3.355,-4.593999999999999
Phorate,CCOP(=S)(OCC)SCSCC,-3.747,-4.11
Phenacetin,CCOc1ccc(NC(C)=O)cc1,-2.342,-2.35
Dinitramine,CCN(CC)c1c([N+](=O)[O-])cc(C(F)(F)F)c(N)c1[N+](=O)[O-],-4.479,-5.47
1-Heptanol,CCCCCCCO,-1.751,-1.81
Theophylline,Cn1c(=O)c2[nH]cnc2n(C)c1=O,-1.452,-1.39
Butethal,CCCCC1(CC)C(=O)NC(=O)NC1=O,-1.974,-1.661
"P,P'-DDE",ClC(Cl)=C(c1ccc(Cl)cc1)c1ccc(Cl)cc1,-6.553,-6.9
Methyl octanoate,CCCCCCCC(=O)OC,-2.608,-3.17
"1,4-Diethylbenzene ",CCc1ccc(CC)cc1,-3.633,-3.75
Terbufos,CCOP(=S)(OCC)SCSC(C)(C)C,-4.367,-4.755
Phenmedipham,COC(=O)Nc1cccc(OC(=O)Nc2cccc(C)c2)c1,-4.229,-4.805
"1,1-Dichloroethylene",C=C(Cl)Cl,-1.939,-1.64
1-Methylfluorene,Cc1cccc2c1Cc1ccccc1-2,-4.478,-5.22
Valeraldehyde,CCCCC=O,-1.103,-0.85
Diphenylamine,c1ccc(Nc2ccccc2)cc1,-3.857,-3.504
Fenothiocarb,CN(C)C(=O)SCCCCOc1ccccc1,-3.297,-3.927
Piperophos,CCCOP(=S)(OCCC)SCC(=O)N1CCCCC1C,-4.637,-4.15
1-Iodoheptane,CCCCCCCI,-3.904,-4.81
3-Chlorobiphenyl,Clc1cccc(-c2ccccc2)c1,-4.685,-4.88
4-Pentene-1-ol,C=CCCCO,-0.7909999999999999,-0.15
Cyclobutyl-5-spirobarbituric acid,O=C1NC(=O)C2(CCC2)C(=O)N1,-0.527,-1.655
menthol,CC1CCC(C(C)C)C(O)C1,-2.782,-2.53
Isopropyl formate,CC(C)OC=O,-0.684,-0.63
2-Heptanol ,CCCCCC(C)O,-1.6780000000000002,-1.55
p-Bromoacetanilide,CC(=O)Nc1ccc(Br)cc1,-3.012,-3.083
brompyrazone,Nc1cnn(-c2ccccc2)c(=O)c1Br,-3.005,-3.127
nifedipine,COC(=O)C1=C(C)N=C(C)C(C(=O)OC)C1c1ccccc1[N+](=O)[O-],-4.248,-4.76
"2,7-dimethylquinoline",Cc1ccc2ccc(C)nc2c1,-3.342,-1.94
1-Octyne ,C#CCCCCCC,-2.509,-3.66
cyclobarbital,CCC1(C2=CCCCC2)C(=O)NC(=O)NC1=O,-2.421,-2.17
Chrysene,c1ccc2c(c1)ccc1c3ccccc3ccc21,-5.568,-8.057
Bromacil,CCC(C)n1c(=O)[nH]c(C)c(Br)c1=O,-3.419,-2.523
"2,2',3,3',5,6-PCB",Clc1cccc(-c2c(Cl)c(Cl)cc(Cl)c2Cl)c1Cl,-7.185,-8.6
2-Methylphenol,Cc1ccccc1O,-2.281,-0.62
"2,2,5-Trimethylhexane",CC(C)CCC(C)(C)C,-3.631,-5.05
"1,4-Dimethylnaphthalene ",Cc1ccc(C)c2ccccc12,-4.147,-4.14
6-Methylchrysene,Cc1cc2c3ccccc3ccc2c2ccccc12,-5.931,-6.57
2-Pentanone,CCCC(C)=O,-0.846,-0.19
"2,2',3,3',5,5',6,6'-PCB",Clc1cc(Cl)c(Cl)c(-c2c(Cl)c(Cl)cc(Cl)c2Cl)c1Cl,-8.304,-9.15
Methyl butyrate,CCCOC(=O)CC,-1.545,-0.82
Triamcinolone,CC12C=CC(=O)C=C1CCC1C3CC(O)C(O)(C(=O)CO)C3(C)CC(O)C12F,-2.734,-3.68
p-Aminophenol,Nc1ccc(O)cc1,-1.231,-0.8
Benznidazole,O=C(Cn1ccnc1[N+](=O)[O-])NCc1ccccc1,-2.321,-2.81
"Atovaquone(0,430mg/ml) - neutral",Oc1c(C2=CCC(c3ccc(Cl)cc3)CC2)c(O)c2ccccc2c1O,-6.269,-5.931
Trietazine,CCNc1nc(Cl)nc(N(CC)CC)n1,-3.233,-4.06
Pyrazinamide,NC(=O)c1cnccn1,-0.674,-0.667
Carbromal,CCC(Br)(CC)C(=O)NC(N)=O,-2.198,-2.68
"2,2'-PCB",Clc1ccccc1-c1ccccc1Cl,-4.984,-5.27
nitrofurantoin,O=c1[nH]c(O)cn1N=Cc1ccc([N+](=O)[O-])o1,-1.243,-3.38
Nitrofen,O=[N+]([O-])c1ccc(Oc2ccc(Cl)cc2Cl)cc1,-5.361000000000001,-5.46
Camphor,CC12CCC(CC1=O)C2(C)C,-2.158,-1.96
5-Allyl-5-phenylbarbital,C=CCC1(c2ccccc2)C(=O)NC(=O)NC1=O,-2.36,-2.369
Pentyl propanoate,CCCCC(=O)OCC,-1.899,-2.25
Isopentyl acetate,CC(=O)OCCC(C)C,-1.817,-1.92
3-Hexanoyloxymethylphenyltoin,CCCCCC(=O)OCN1C(=O)NC(c2ccccc2)(c2ccccc2)C1=O,-4.1530000000000005,-5.886
"2,3',5-PCB",Clc1cccc(-c2cc(Cl)ccc2Cl)c1,-5.7620000000000005,-6.01
1-Bromopropane,CCCBr,-1.949,-1.73
Propiconazole,CCCC1COC(Cn2cncn2)(c2ccc(Cl)cc2Cl)O1,-4.603,-3.4930000000000003
Formothion,COP(=S)(OC)SCC(=O)N(C)C=O,-2.087,-1.995
4-methylpteridine,Cc1ncnc2nccnc12,-1.24,-0.466
Thiourea,NC(N)=S,0.3289999999999999,0.32
p-Xylene ,Cc1ccc(C)cc1,-3.035,-2.77
"1,2-Diethylbenzene",CCc1ccccc1CC,-3.6010000000000004,-3.28
Hexachloroethane,ClC(Cl)(Cl)C(Cl)(Cl)Cl,-4.215,-3.67
Flucythrinate,CC(C)C(C(=O)OC(C#N)c1cccc(Oc2ccccc2)c1)c1ccc(OC(F)F)cc1,-6.877999999999999,-6.876
1-Nitropropane,CCC[N+](=O)[O-],-0.816,-0.8
Menthone,CC1CCC(C(C)C)C(=O)C1,-2.516,-2.35
RTI 24,CCN1c2cc(Cl)ccc2NC(=O)c2cccnc21,-4.423,-5.36
"2,3-Dichloronitrobenzene",O=[N+]([O-])c1cccc(Cl)c1Cl,-3.322,-3.48
thiamylal,C=CCC1(C(C)CCC)C(=O)NC(=S)NC1=O,-3.063,-3.46
Fluoranthene,c1ccc2c(c1)-c1cccc3cccc-2c13,-4.957,-6.0
Propylisopropylether,CCCOC(C)C,-1.354,-1.34
"1,3-Dimethylnaphthalene",Cc1cc(C)c2ccccc2c1,-4.147,-4.29
diethylstilbestrol,CC=C(c1ccc(O)cc1)C(CC)c1ccc(O)cc1,-5.074,-4.07
Chlorothalonil,N#Cc1c(Cl)c(Cl)c(Cl)c(C#N)c1Cl,-3.995,-5.64
"2,3',4',5-PCB",Clc1ccc(Cl)c(-c2ccc(Cl)c(Cl)c2)c1,-6.312,-7.25
styrene oxide,c1ccc(C2CO2)cc1,-1.826,-1.6
Isopropylbenzene ,CC(C)c1ccccc1,-3.265,-3.27
Deoxycorticosterone,CC12CCC(=O)C=C1CCC1C2CCC2(C)C(C(=O)CO)CCC12,-3.939,-3.45
chlorquinox,Clc1c(Cl)c(Cl)c2nccnc2c1Cl,-4.438,-5.43
L-arabinose,OC1COC(O)C(O)C1O,0.601,0.39
Dichloromethane,ClCCl,-1.156,-0.63
1-Ethylnaphthalene ,CCc1cccc2ccccc12,-4.1,-4.17
Methyl formate,COC=O,-0.048,0.58
o-Nitrophenol,O=[N+]([O-])c1ccccc1O,-2.318,-1.74
thymine,Cc1c[nH]c(=O)[nH]c1=O,-0.78,-1.506
2-Methylpropane,CC(C)C,-1.891,-2.55
Inosine,O=c1[nH]cnc2c1ncn2C1OC(CO)C(O)C1O,-0.8340000000000001,-1.23
Ioxynil,N#Cc1cc(I)c(O)c(I)c1,-4.615,-3.61
Niclosamide,O=C(Nc1ccc([N+](=O)[O-])cc1Cl)c1cc(Cl)ccc1O,-5.032,-4.7
Pentane,CCCCC,-2.261,-3.18
Phenol,Oc1ccccc1,-1.991,0.0
2-aminoanthracene,Nc1ccc2cc3ccccc3cc2c1,-3.789,-5.17
theobromine,Cn1cnc2c1c(=O)[nH]c(=O)n2C,-1.05,-2.523
Isoquinoline,c1ccc2cnccc2c1,-2.531,-1.45
Anilofos,COP(=S)(OC)SCC(=O)N(c1ccc(Cl)cc1)C(C)C,-5.106,-4.432
Hexylbenzene ,CCCCCCc1ccccc1,-4.22,-5.21
2-Chlorobiphenyl,Clc1ccccc1-c1ccccc1,-4.5280000000000005,-4.54
2-Methyl-1-Pentene,C=C(C)CCC,-2.3480000000000003,-3.03
"2,3,4-Trimethylpentane",CC(C)C(C)C(C)C,-3.276,-4.8
Pentachlorobenzene,Clc1cc(Cl)c(Cl)c(Cl)c1Cl,-5.167999999999999,-5.65
m-Nitrophenol,O=[N+]([O-])c1cccc(O)c1,-2.318,-1.01
1-Decene,C=CCCCCCCCC,-3.781,-5.51
Glyceryl triacetate,CC(=O)OCC(COC(C)=O)OC(C)=O,-1.285,-0.6
dimethirimol,CCCCc1c(C)[nH]c(N(C)C)nc1=O,-3.57,-2.24
Cyfluthrin,CC1(C)C(C=C(Cl)Cl)C1C(=O)OC(C#N)c1ccc(F)c(Oc2ccccc2)c1,-6.84,-7.337000000000001
Pyridine,c1ccncc1,-1.481,0.76
1-Bromoheptane,CCCCCCCBr,-3.366,-4.43
"3,4-Dimethylpyridine",Cc1ccncc1C,-2.067,0.36
Fludrocortisone,CC12CCC(=O)C=C1CCC1C3CCC(O)(C(=O)CO)C3(C)CC(O)C12F,-3.172,-3.43
ethiofencarb,CCSCc1ccccc1OC(=O)NC,-2.855,-2.09
Malonic acid diethylester,CCOC(=O)CC(=O)OCC,-1.413,-0.82
d-Limonene,C=C(C)C1CC=C(C)CC1,-3.429,-4.26
Indan,c1ccc2c(c1)CCC2,-3.057,-3.04
p-t-Butylphenol,CC(C)(C)c1ccc(O)cc1,-3.192,-2.41
Cyclopropyl-5-spirobarbituric acid,O=C1NC(=O)C2(CC2)C(=O)N1,-0.088,-1.886
m-Chloroiodobenzene,Clc1cccc(I)c1,-4.384,-3.55
1-Bromonapthalene,Brc1cccc2ccccc12,-4.434,-4.35
trans-2-Pentene ,CC=CCC,-2.076,-2.54
"2,6-Dimethylpyridine",Cc1cccc(C)n1,-2.0980000000000003,0.45
Trichloroethylene,ClC=C(Cl)Cl,-2.312,-1.96
1-Napthylamine,Nc1cccc2ccccc12,-2.721,-1.92
m-Xylene ,Cc1cccc(C)c1,-3.035,-2.82
2-hydroxypteridine,O=c1nc2nccnc2c[nH]1,-1.404,-1.947
Methanol,CO,0.441,1.57
Amobarbital,CCC1(CCC(C)C)C(=O)NC(=O)NC1=O,-2.312,-2.468
2-Butanone,CCC(C)=O,-0.491,0.52
5-fluorouracil,O=c1[nH]cc(F)c(=O)[nH]1,-0.792,-1.077
tubercidin,Nc1ncnc2c1ccn2C1OC(CO)C(O)C1O,-0.892,-1.95
"1,3-Benzenediol",Oc1cccc(O)c1,-1.59,0.81
1-Hexanol,CCCCCCO,-1.3969999999999998,-1.24
1-Chloropentane,CCCCCCl,-2.294,-2.73
"1,3-Butadiene",C=CC=C,-1.376,-1.87
Propyl acetate,CCCOC(C)=O,-1.125,-0.72
"5,6,7,8-tetrahydro-2-naphthol",Oc1ccc2c(c1)CCCC2,-3.0860000000000003,-1.99
chloroacetamide,NC(=O)CCl,-0.106,-0.02
Iodofenphos,COP(=S)(OC)Oc1cc(Cl)c(I)cc1Cl,-6.148,-6.62
4-Chlorotoluene,Cc1ccc(Cl)cc1,-3.297,-3.08
Metribuzin,CSc1nnc(C(C)(C)C)c(=O)n1N,-2.324,-2.253
Tricresyl phosphate,Cc1ccc(OP(=O)(Oc2cccc(C)c2)Oc2ccccc2C)cc1,-6.39,-6.01
Caproaldehyde,CCCCCC=O,-1.457,-1.3
Butamben,CCCCOC(=O)c1ccc(N)cc1,-3.039,-3.082
RTI 3,Cc1ccc2c(c1)Oc1ncc(N)cc1C(=O)N2C,-3.049,-3.043
Nerol,CC(C)=CCCC(C)=CCO,-2.603,-2.46
"2,4'-PCB",Clc1ccc(-c2ccccc2Cl)cc1,-5.142,-5.28
3-Octanoyloxymethylphenytoin,CCCCCCCC(=O)OCN1C(=O)NC(c2ccccc2)(c2ccccc2)C1=O,-4.84,-6.523
Nitroethane,CC[N+](=O)[O-],-0.462,-0.22
Ethalfluralin,C=C(C)CN(CC)c1c([N+](=O)[O-])cc(C(F)(F)F)cc1[N+](=O)[O-],-5.063,-6.124
"1,2,3,4-Tetrachlorobenzene",Clc1ccc(Cl)c(Cl)c1Cl,-4.546,-4.57
Meprobamate,CCCC(C)(COC(N)=O)COC(N)=O,-1.376,-1.807
pregnenolone,CC(=O)C1CCC2C3CC=C4CC(O)CCC4(C)C3CCC12C,-4.342,-4.65
