CID,SMILES,calculated,measured
"4-methoxy-N,N-dimethyl-benzamide",COc1ccc(C(=O)N(C)C)cc1,-9.625,-11.01
methanesulfonyl chloride,CS(=O)(=O)Cl,-6.219,-4.87
3-methylbut-1-ene,C=CC(C)C,2.452,1.83
2-ethylpyrazine,CCc1cnccn1,-5.809,-5.45
heptan-1-ol,CCCCCCCO,-2.917,-4.21
"3,5-dimethylphenol",Cc1cc(C)cc(O)c1,-5.444,-6.27
"2,3-dimethylbutane",CC(C)C(C)C,2.468,2.34
2-methylpentan-2-ol,CCCC(C)(C)O,-2.779,-3.92
"1,2-dimethylcyclohexane",CC1CCCCC1C,1.685,1.58
butan-2-ol,CCC(C)O,-3.145,-4.62
dibromomethane,BrCBr,-0.405,-1.96
2-methylpentan-3-ol,CCC(O)C(C)C,-2.416,-3.88
2-ethylpyridine,CCc1ccccn1,-3.31,-4.33
ethyl pentanoate,CCCCC(=O)OCC,-3.11,-2.49
benzenethiol,Sc1ccccc1,-1.501,-2.55
"(2Z)-3,7-dimethylocta-2,6-dien-1-ol",CC(C)=CCCC(C)=CCO,-2.597,-4.78
indane,c1ccc2c(c1)CCC2,-1.752,-1.46
ethoxybenzene,CCOc1ccccc1,-2.254,-2.22
4-bromophenol,Oc1ccc(Br)cc1,-5.833,-5.85
"2,2-dimethylpentane",CCCC(C)(C)C,2.686,2.88
2-acetoxyethyl acetate,CC(=O)OCCOC(C)=O,-8.292,-6.34
ethion,CCOP(=S)(OCC)SCSP(=S)(OCC)OCC,-10.644,-6.1
cycloheptanol,OC1CCCCCC1,-4.345,-5.48
methyl cyclopropanecarboxylate,COC(=O)C1CC1,-3.604,-4.1
benzonitrile,N#Cc1ccccc1,-3.238,-4.1
pentanenitrile,CCCCC#N,-2.147,-3.52
2-methylpropan-2-ol,CC(C)(C)O,-3.288,-4.47
"2,4-dimethylpentan-3-one",CC(C)C(=O)C(C)C,-2.629,-2.74
propanal,CCC=O,-3.148,-3.43
"N,N-dimethylformamide",CN(C)C=O,-6.932,-7.81
p-xylene,Cc1ccc(C)cc1,-0.658,-0.8
"penta-1,4-diene",C=CCC=C,2.357,0.93
"2-(2,3-dimethylphenyl)aminobenzoic acid",Cc1cccc(Nc2ccccc2C(=O)O)c1C,-7.665,-6.78
"N,N-dimethylbenzamide",CN(C)C(=O)c1ccccc1,-8.113,-9.29
N-ethylethanamine,CCNCC,-2.986,-4.07
4-tert-butylphenol,CC(C)(C)c1ccc(O)cc1,-5.543,-5.91
isopentyl formate,CC(C)CCOC=O,-3.414,-2.13
decan-1-ol,CCCCCCCCCCO,-2.446,-3.64
ethyl propanoate,CCOC(=O)CC,-3.221,-2.68
nonane,CCCCCCCCC,3.221,3.13
N-methylacetamide,CNC(C)=O,-8.276,-10.0
non-1-ene,C=CCCCCCCC,2.995,2.06
naphthalen-2-ol,Oc1ccc2ccccc2c1,-7.849,-8.11
"1,2,4-trichlorobenzene",Clc1ccc(Cl)c(Cl)c1,-0.117,-1.12
"(2R,3R,4R,5R)-Hexan-1,2,3,4,5,6-hexol",OCC(O)C(O)C(O)C(O)CO,-18.162,-23.62
methyl butanoate,CCCC(=O)OC,-3.552,-2.83
2-hydroxybenzaldehyde,O=Cc1ccccc1O,-8.809,-4.68
azetidine,C1CNC1,-3.861,-5.56
N-propylpropan-1-amine,CCCNCCC,-2.233,-3.65
aniline,Nc1ccccc1,-5.543,-5.49
tetrafluoromethane,FC(F)(F)F,2.489,3.12
2-methylbutan-1-ol,CCC(C)CO,-2.995,-4.42
2-iodophenol,Oc1ccccc1I,-3.221,-6.2
"2,6-dimethoxyphenol",COc1cccc(OC)c1O,-7.393,-6.96
but-1-yne,C#CCC,0.284,-0.16
trifluoromethylbenzene,FC(F)(F)c1ccccc1,-0.57,-0.25
2-methylpyridine,Cc1ccccn1,-3.501,-4.63
simazine,CCNc1nc(Cl)nc(NCC)n1,-10.914,-10.22
"2,3-dichlorodibenzo-p-dioxin",Clc1cc2c(cc1Cl)Oc1ccccc1O2,-3.59,-3.56
octan-1-amine,CCCCCCCCN,-2.589,-3.65
"1,2-bis(trifluoromethyl)benzene",FC(F)(F)c1ccccc1C(F)(F)F,-1.441,1.07
methyl paraben,COC(=O)c1ccc(O)cc1,-9.785,-9.51
pentylbenzene,CCCCCc1ccccc1,-0.094,-0.23
"1,1-difluoroethane",CC(F)F,0.226,-0.11
5-Amino-4-chloro-2-phenylpyridazin-3(2H)-one,Nc1cnn(-c2ccccc2)c(=O)c1Cl,-16.039,-16.43
butadiene,C=CC=C,1.955,0.56
"N,N-dimethylmethanamine",CN(C)C,-2.636,-3.2
hexanamide,CCCCCC(N)=O,-8.103,-9.31
isobutyl nitrate,CC(C)CO[N+](=O)[O-],-1.835,-1.88
"1-(2-hydroxyethylamino)-9,10-anthraquinone",O=CCNc1cccc2c(O)c3ccccc3c(O)c12,-13.599,-14.21
2-(nitrooxy)ethan-1-ol,O=[N+]([O-])OCCO,-6.676,-8.18
octan-2-one,CCCCCCC(C)=O,-2.758,-2.88
1-methylpiperazine,CN1CCNCC1,-8.173,-7.77
ethanamine,CCN,-3.156,-4.5
"cyclohepta-1,3,5-triene",C1=CC=CCC=C1,-0.098,-0.99
"9,10-dihydroanthracene",c1ccc2c(c1)Cc1ccccc1C2,-4.304,-3.78
"1,1-dichloroethane",CC(Cl)Cl,0.187,-0.84
3-methoxyphenol,COc1cccc(O)c1,-6.969,-7.66
acenaphthene,c1cc2c3c(cccc3c1)CC2,-4.198,-3.15
1-bromooctane,CCCCCCCCBr,1.352,0.52
phenylmethanol,OCc1ccccc1,-5.133,-6.62
5-bromouracil,O=c1[nH]cc(Br)c(=O)[nH]1,-17.298,-18.17
n-butane,CCCC,2.588,2.1
chloromethane,CCl,0.764,-0.55
1-bromo-2-methyl-propane,CC(C)CBr,0.756,-0.03
2-isopropylsulfanylpropane,CC(C)SC(C)C,0.14,-1.21
heptane,CCCCCCC,2.925,2.67
imidazole,c1c[nH]cn1,-7.972,-9.63
"1,2,3,7-tetrachlorodibenzo-p-dioxin",Clc1ccc2c(c1)Oc1cc(Cl)c(Cl)c(Cl)c1O2,-2.66,-3.84
bromacil,CCC(C)n1c(=O)[nH]c(C)c(Br)c1=O,-14.496,-9.73
diiodomethane,ICI,-1.882,-2.49
"N,N-dipropyl(propylsulfanyl)formamide",CCCSC(=O)N(CCC)CCC,-4.569,-4.13
nitromethane,C[N+](=O)[O-],-2.075,-4.02
methoxyethane,CCOC,-0.71,-2.1
"2-chloro-1,1,1-trimethoxy-ethane",COC(CCl)(OC)OC,-3.638,-4.59
isobutane,CC(C)C,2.535,2.3
3-methylbutanoic acid,CC(C)CC(=O)O,-8.844,-6.09
"2-chloro-1-(2,4-dichlorophenyl)ethenyl diethyl phosphate",CCOP(=O)(OCC)OC(=CCl)c1ccc(Cl)cc1Cl,-9.029,-7.07
1-chloropropane,CCCCl,0.973,-0.33
1-propylsulfanylpropane,CCCSCCC,0.64,-1.28
hexan-3-ol,CCCC(O)CC,-2.585,-4.06
acetonitrile,CC#N,-2.789,-3.88
"N-methyl-N-(2,2,2-trifluoroethyl)aniline",CN(CC(F)(F)F)c1ccccc1,-3.964,-1.92
"2-chloro-2-(difluoromethoxy)-1,1,1-trifluoro-ethane",FC(F)OC(Cl)C(F)(F)F,-1.156,0.1
"hexa-1,5-diene",C=CCCC=C,2.487,1.01
m-xylene,Cc1cccc(C)c1,-0.697,-0.83
methyl acetate,COC(C)=O,-3.83,-3.13
trimethoxymethylbenzene,COC(OC)(OC)c1ccccc1,-5.559,-4.04
ethyl benzoate,CCOC(=O)c1ccccc1,-4.597,-3.64
propanethiol,CCCS,-0.182,-1.1
heptan-2-one,CCCCCC(C)=O,-2.945,-3.04
carbofuran,CNC(=O)Oc1cccc2c1OC(C)(C)C2,-11.126,-9.61
benzyl bromide,BrCc1ccccc1,-1.853,-2.38
ethyl hexanoate,CCCCCC(=O)OCC,-2.929,-2.23
1-methoxypropane,CCCOC,-0.598,-1.66
4-methylmorpholine,CN1CCOCC1,-5.774,-6.32
3-hydroxybenzonitrile,N#Cc1cccc(O)c1,-7.739,-9.65
"1,2,4,5-tetrachloro-3-(3,4-dichlorophenyl)benzene",Clc1ccc(-c2c(Cl)c(Cl)cc(Cl)c2Cl)cc1Cl,-0.705,-4.38
propylbenzene,CCCc1ccccc1,-0.511,-0.53
caffeine,Cn1c(=O)c2c(ncn2C)n(C)c1=O,-17.621,-12.64
N-methylmethanamine,CNC,-2.991,-4.29
"1,1,2,3,3,3-hexafluoroprop-1-ene",FC(F)=C(F)C(F)(F)F,2.305,2.93
4-chlorophenol,Oc1ccc(Cl)cc1,-5.373,-7.03
piperidine,C1CCNCC1,-3.873,-5.11
phenanthrene,c1ccc2c(c1)ccc1ccccc12,-5.264,-3.88
iodomethane,CI,-0.641,-0.89
"3,5-dichloro-2,6-dimethoxyphenol",COc1c(Cl)cc(Cl)c(OC)c1O,-5.98,-6.44
"(E)-1,2-dichloroethylene",ClC=CCl,1.024,-0.78
n-pentane,CCCCC,2.673,2.3
butanenitrile,CCCC#N,-2.287,-3.64
"2-bromo-1,1,1,2-tetrafluoro-ethane",FC(Br)C(F)(F)F,0.234,0.5
2-isobutylpyrazine,CC(C)Cc1cnccn1,-5.495,-5.04
[(2S)-butan-2-yl] nitrate,CCC(C)O[N+](=O)[O-],-1.864,-1.82
"1,4-dichloro-2-phenyl-benzene",Clc1ccc(Cl)c(-c2ccccc2)c1,-1.903,-2.46
"1,2,3,4-tetrachloro-5-phenyl-benzene",Clc1cc(-c2ccccc2)c(Cl)c(Cl)c1Cl,-1.31,-3.48
"2,3-dimethylpentane",CCC(C)C(C)C,2.625,2.52
4-methylpentan-2-ol,CC(C)CC(C)O,-2.907,-3.73
tetrahydropyran,C1CCOCC1,-1.809,-3.12
cyclopropane,C1CC1,2.485,0.75
"1,2,3,4-tetrachloro-5-(3,4,5-trichlorophenyl)benzene",Clc1cc(-c2cc(Cl)c(Cl)c(Cl)c2Cl)cc(Cl)c1Cl,-0.822,-3.17
"1,1-dichloroethylene",C=C(Cl)Cl,1.108,0.25
2-methylpropan-1-ol,CC(C)CO,-3.13,-4.5
propyl propanoate,CCCOC(=O)CC,-2.453,-2.44
hexachloroethane,ClC(Cl)(Cl)C(Cl)(Cl)Cl,0.885,-0.64
methylsulfanylbenzene,CSc1ccccc1,-1.325,-2.73
2-ethylphenol,CCc1ccccc1O,-4.768,-5.66
2-chloro-2-methyl-propane,CC(C)(C)Cl,0.826,1.09
isoprene,C=CC(=C)C,1.824,0.68
1-isopropyl-4-methyl-benzene,Cc1ccc(C(C)C)cc1,-0.456,-0.68
1-methylimidazole,Cn1ccnc1,-6.282,-8.41
ethylene glycol,OCCO,-7.266,-9.3
"1,2-dichlorobenzene",Clc1ccccc1Cl,-0.553,-1.36
6-chlorouracil,O=c1cc(Cl)[nH]c(=O)[nH]1,-15.128,-15.83
propyl formate,CCCOC=O,-3.699,-2.48
2-chlorodibenzo-p-dioxin,Clc1ccc2c(c1)Oc1ccccc1O2,-4.054,-3.1
